1.027e+06,42570,-30886,12412,59306,46356,-19419,-1.596e+05,88288,-1.0022e+05,87201,49935,48135,-16636,-42410,-17206,-37618,29456,-262.51,-90329,-44652,39574,35472,1.4905e+05,-14592,14759,-1.3865e+05,-15667,1.3822e+05,3909.1,-13447,26180,88556,85667,25018,-75888,1.0887e+05,-49106,-14581,19105,13652,-358.53,-92838,-1965.3,74843,-23094,-69418,25145,-74387,-54413,81878,-39665,7093.7,55810,12442,20663,6753.4,-37960,28041,91697,1.1634e+05,6882.7,82240,-19533,-53264,63109,78872,-61850,17453,-28688,25395,1.1232e+05,-7490.9,4274.4,-43929,32291,-29966,38507,-14249,7245.6,-28221,-14174,8062.8,-35103,37242,53038,18929,-55461,-63846,41850,-33635,-52033,34105,-1.3314e+05,-76126,1.0155e+05,84312,-38286,-14656,44238,-7113.5,-32167,10226,-38290,-71614,-39581,69649,19519,30021,81707,9412.1,1.1349e+05,18248,56434,-37982,-17774,5924.9,-5027.2,43502,24982,1.6352e+05,42496,-7415.3,40641,56186,45628,-20581,13393,-85202,-7405.6,-33627,-62300,-90825,9345.9,57393,-7104.6,-21547,62301,-61437,3091.7,-26588,-19696,-72290,-45179,-19851,48641,50558,45628,31344,39773,-79969,-86747,6516.3,23811,-3723.3,-708.06,-45322,93612,-53646,-20853,-34244,10450,26855,-68191,3163.6,438.72,11534,-1.2947e+05,-15574,-25721,-98645,-35045,94863,-17406,9353.4,-35478,-14280,82854,-46080,33917,-55696,65388,80804,14859,-50308,-75333,-38179,42937,-59023,49372,-15001,19674,50164,-9978.5,8288.9,29049,78889,-96066,-64215,-23294,56495,64488,-53517,13064,63116,-1.6074e+05,-1.0873e+05,-12716,83406,-52255,-29819,74227,14770,60895,71678,-21210,52366,1857.5,-69000,1.0882e+05,-88940,45609,-41194,6573.1,-7413.6,50541,16493,-2365.8,61335,-10.2,-40027,81475,20040,11147,-1.0034e+05,43279,-15968,-12825,-2034,-36800,-69260,72583,-10071,-57486,-29995,-81048,1.0249e+05,24604,-2559,-12458,-75649,61709,-10964,37297,65548,-33628,-35166,-1.4948e+05,30871,-33302,76728,50845,-20706,-36925,-30719,42921,30329,-82378,41753,-21109,-7709.9,17380,-33484,-16220,-35787,30418,18445,-7644.8,56815,1.5512e+05,-31382,80970,-49467,29028,-46528,-1.2009e+05,11342,-1149.2,51693
42570,1.0446e+06,53172,-40727,1.3385e+05,-22286,1.2055e+05,16739,-31610,17300,51158,-1.0961e+05,-1288.2,47199,25886,-58855,9062.5,29135,39518,82130,36801,13402,-46049,67200,-15535,-56403,-13962,20622,15442,72173,-12619,45353,9676.1,21533,-2043.4,-65879,-21232,-1.4212e+05,4124.4,-77201,-74841,-15128,-1.2118e+05,12222,-14683,1696.6,29897,-72592,-61620,-1.2292e+05,-31040,1.4349e+05,26830,72191,18543,-59896,1.3814e+05,59910,1.1678e+05,79090,-43446,19167,-89200,9355.5,20735,11560,-7991.9,-29264,-75395,56771,-64946,-1.0533e+05,31408,26030,44344,22835,1.0616e+05,71087,-35429,-74852,94163,53187,55354,-1.2285e+05,61146,9267.9,-59735,-90265,90639,70581,-59395,1.6287e+05,34583,-6727.5,83848,6778.3,-1.2754e+05,-96345,-7646.2,-23747,-15081,-18350,-97427,-50406,46691,-10765,-20905,30327,-42874,12016,90977,63763,1.0032e+05,-1.0084e+05,-34337,76666,48988,-4589.3,-5656.6,52532,1.0518e+05,69094,94143,-80336,-21645,24452,65953,-69682,-59966,52395,-16485,1.1428e+05,-78245,57853,-60818,-49928,-58292,13389,-58262,14765,-61095,-68416,-69983,-9988.4,75484,65655,-24480,15989,32232,-12166,-1273.4,17788,62427,14323,43230,82297,30639,-66976,49089,16915,-23029,14320,55358,-40718,28755,62069,18155,-56255,-39784,-1.2865e+05,-66170,-13618,-76005,10375,-49439,56939,58940,-1.0929e+05,38572,99886,40729,38200,91679,-17389,59076,-61584,57492,49111,-5530.9,44507,46619,3620.2,-36182,-59216,-2181,8295.5,-32809,-80574,20130,79164,2584.8,-1.1855e+05,37119,15891,8636.9,25350,-67474,39783,-23371,-69253,-1786.1,-36710,-38445,79916,62193,-28379,17720,23832,-3738.1,8115.7,28415,-815.78,25885,80874,-24775,14490,-21095,20207,28106,-72738,-32284,28973,-66506,-29449,63663,-19951,-28650,80880,-43921,19854,4227.9,76843,-7896.9,2137.1,-63119,-24093,75991,42289,83006,-38672,-32934,83576,-61692,-61099,72820,-53855,27728,24053,11052,-30633,1.0168e+05,54719,68360,-9739.2,59.883,-16219,-42254,-1.2543e+05,1.3923e+05,-32282,-15743,36558,52067,-91328,3534.7,-2703.4,25641,-32861,-53528,-33555,-19244,-50970,27713,-61231,-84529,-55262,-95390,-15206,84043
-30886,53172,1.0331e+06,55526,57527,3060.5,17571,-37896,84319,-56961,1.2092e+05,-22942,60048,1272.6,25028,-15526,45360,-21592,72959,-46540,1.3622e+05,-10463,-50546,51473,-72147,12291,-1.2128e+05,-57210,34396,-1.2509e+05,-28187,42567,6803.6,-14640,-38211,98474,-30226,17292,4573.3,32330,-62741,77784,-79664,26706,44618,-29912,-12834,-2178.9,-1.0845e+05,41901,-53971,3079.7,-20236,-32777,-61969,-59980,43700,2201.9,-7574.3,-10901,-42290,38669,47791,1631.3,-1.3089e+05,-66339,11141,-15084,37307,-51765,1.3999e+05,-6211.8,-11570,-38221,-1.6844e+05,9288.2,-5985,46476,-69300,12412,15555,-17136,-14956,16384,64028,47652,-1532.2,24239,-48082,8221.2,17760,-1725.2,1690.7,20772,1.3634e+05,-23224,37466,-38935,36213,-60617,-17724,30496,-1.1711e+05,15425,-91653,-55596,-9115.1,70102,-1.6017e+05,12834,49817,1.506e+05,-83684,54646,-26506,-19755,-43262,22255,71077,25728,32701,-1.0241e+05,6140,24561,-65320,-85257,1.0125e+05,1.1331e+05,-7452.6,-21190,1.2689e+05,60234,-34700,42975,-29007,23634,18348,36727,80133,-81540,62829,-31549,88468,-50367,-7786.1,49604,-55230,-26785,29969,-32688,-36463,1.0181e+05,-1.3531e+05,95757,1.1589e+05,-24546,69666,29485,-23729,26570,-27410,-20446,65128,5345.4,-46127,-10944,18549,-11859,34598,-88408,-8179.6,-27536,12530,-34507,-22846,48351,-35967,5782.1,43239,-57516,50466,-17936,-22226,-1.246e+05,90310,97954,-3315.7,-18500,63683,37396,57697,43618,-48378,-85355,32962,-1.2064e+05,8934.3,-1.0507e+05,-31133,59748,10610,74008,73038,-35283,4454.4,-44493,-38513,-36799,-35777,-33903,-21463,54838,60259,30058,-45670,-33164,-1.5698e+05,-23838,-20917,-9529,93097,41906,9070.3,-788.79,-6339.2,-42331,35327,50993,-75898,27983,-61959,856.94,-76520,1.5741e+05,24803,1.1492e+05,17165,15574,-35143,88109,35266,36618,24813,6811.2,53146,1.0613e+05,5593.7,-57026,-36086,94611,-8034,28298,36903,44318,-51394,-48324,-1.445e+05,41177,-29703,-84924,21445,72132,-5091.1,1.2139e+05,22836,48166,-67392,-1.3761e+05,55536,4676.9,8764.2,-42398,1.3477e+05,-88306,2509.2,79979,6780.8,87292,17218,-10589,11060,37876,-74900,-17608,-61951,-25212,11442,-51226,-4617.7
12412,-40727,55526,9.1103e+05,38837,-87801,-30853,-10549,20652,41288,-5934.5,1590.6,-28554,-17810,15441,-4009.7,668.45,-19217,14036,24875,-46095,79461,-53897,-1940.6,2183.3,-55259,30845,-17808,91376,-1.3832e+05,-12993,704.31,-6068.2,1.2846e+05,1.0792e+05,-1.1011e+05,52421,10355,48938,-38543,45381,10957,-94810,53306,-17206,-58606,28584,1.1131e+05,-96172,-82986,-12448,55679,7370.3,88692,25740,15015,54005,-67159,-24126,-47209,7373.9,40515,-825.16,-21736,54723,14256,45665,47810,11971,-52924,13584,47800,75549,-71360,-31554,-23387,18784,2129,-8351.3,-97264,71911,21208,-23130,-72203,28341,-20635,-1.0451e+05,-86787,-95469,61239,-84460,-61785,-81951,-8504.9,-58195,-1.0631e+05,18830,-30603,-33767,77286,-66543,-82855,97740,78009,32488,-35188,69411,-38129,-38446,-63447,33215,51532,16401,13594,96295,9355.3,-61988,-67404,80916,-66993,56826,-58240,-32088,68480,-68749,-93215,-45252,-40714,1.0785e+05,-41857,54774,9313.2,-81544,52014,-31368,45464,23665,5962.7,-77052,-65330,-1.2995e+05,10066,10394,1.364e+05,-41465,3265.1,-4334.9,-1.6684e+05,78167,-80550,21564,-63717,71224,1.0023e+05,-30192,-17062,53113,-47358,55551,37646,47645,60943,10260,-6274.3,14364,-10013,-50791,-6869.8,15462,17502,-1.0603e+05,19063,-72798,-1.4415e+05,-4173.9,-42045,-22737,-8964,-52873,18579,-1752.5,76645,-16832,63213,23713,64088,-423.44,-1843.8,1.0384e+05,-66051,-1.1642e+05,59319,19419,68915,2360.5,-26580,47149,26052,-76123,22246,59738,16201,-27249,97528,50357,-48281,-359.11,-1.3964e+05,11657,18703,-70775,-13771,-48117,-51165,-49226,-16684,-34560,-11308,-53957,-33362,27065,-1.1072e+05,-87466,-5879.9,-61578,14244,66842,-21977,-1.5724e+05,-4046.8,-48854,1.2025e+05,73039,-41232,-3161.2,57008,-1.1454e+05,-53932,-12802,8239.3,-2556.9,28382,7288.7,-41195,-10088,1.2033e+05,36836,-41918,-7694.7,-29679,34969,68983,41062,-70475,-16113,27612,93194,43615,-49555,-7865.3,24657,36853,7657.8,68348,28520,36488,1.5862e+05,59810,-16756,-87454,1.3549e+05,42941,15601,2589.5,-8431.3,-81075,1.0637e+05,97515,41019,2586.8,-11715,14637,-15609,-77192,-35778,30274,-14352,-22465,-1.0844e+05
59306,1.3385e+05,57527,38837,9.9355e+05,1.1524e+05,-18680,45283,-31428,-84173,-95576,25019,60469,-44322,42759,437.93,57704,12695,48153,-64830,-66794,3745,-23791,22207,-72181,-15973,52312,28222,-24271,9567.5,-6909.1,-77201,-3891.7,87339,4323.2,1.0826e+05,52847,-42655,-10776,-97419,10135,-62822,8307.3,12355,-20127,-17812,65125,18187,-42229,1988.7,-46123,1.2155e+05,-14667,-4448.3,-2385.5,1.0836e+05,-35266,37602,-27555,21391,-20311,-57527,-59836,-39774,39352,57496,2454.6,70637,-45634,-31395,-1.1156e+05,12632,43740,20678,-37327,41887,12180,37134,-16857,1138.6,-1.4e+05,-27511,-60626,-54369,2536.5,-93618,57797,3805.7,12.001,82975,-3508.5,-66321,-1.0784e+05,-55625,30342,85145,-39789,-28221,7541.9,25802,56912,-26980,43250,35497,1.521e+05,13574,-26846,90248,-40309,62128,9543.1,-39936,47955,21999,-58701,-9584.5,19810,-62392,-1.0225e+05,-49063,-41282,-1529.2,-11722,-9470.6,-22081,10741,-28938,1.3124e+05,22617,9025.8,5521.3,36046,-9703.1,-64812,27496,-11705,91244,73229,-43823,3405.8,4223,-67114,-52831,1.0701e+05,1.3439e+05,-20266,-6959.5,-49791,-1.2756e+05,-27700,-41372,12993,-30873,5419.4,34306,37393,49738,22097,-3902,57535,-16642,-21596,-27524,1.3746e+05,-13968,44733,99577,-16524,1.1352e+05,-35062,-1.0421e+05,-37094,-16945,76907,8336.3,-40560,57261,64326,15092,7297.4,-20413,67249,71195,23400,-52076,-1.1199e+05,-12696,-63707,-42133,-33105,-1.1572e+05,-1.2175e+05,-86384,5088.7,65398,-77837,-86078,-1.1547e+05,47716,18645,25422,-1.2688e+05,-26357,34801,-34465,-85073,15491,49399,1.0456e+05,55896,-90491,-51033,30459,44167,-38658,-22976,-12851,-23310,21117,1.1131e+05,-48152,10242,-51909,-28684,-1.2132e+05,1.3985e+05,-16863,48070,24556,-75134,99976,-8772.9,-52114,-59193,96824,49607,7303.5,42508,-12198,-39621,39767,-32365,39113,-1.1197e+05,-1.0169e+05,12491,-38140,-37312,-20112,-38171,9191.1,82803,36924,16815,-49507,-47999,-56920,-65942,37366,29094,52356,65640,-20927,-48121,-3534,23475,80781,-32855,50010,35879,11955,-26397,1.046e+05,5455.3,524.28,45895,1.0163e+05,-14026,-32318,63623,1.0621e+05,25717,-14871,93382,-41204,-314.34,49455,17715,-19930
46356,-22286,3060.5,-87801,1.1524e+05,1.0109e+06,-36470,33206,-38290,-45460,-51157,39374,-8292.1,1.0263e+05,21885,-35173,57331,47539,-31831,-59799,20624,17494,-29388,-3545.6,-46934,1.5963e+05,27756,17944,48082,51616,-60463,31387,44228,-15240,81995,-18898,46433,38360,98054,77129,-96443,-31617,-7427.6,4438.1,27914,74338,-64475,-1.0355e+05,42502,20142,-1174.7,20028,-26285,30796,1.0337e+05,-18680,9063.1,-47581,-41416,-41990,63583,-91507,48724,-141.79,-29780,-49768,1.0554e+05,-20093,-1.3468e+05,-78550,2942.5,3667.8,86531,-28940,926.49,8289.9,-25408,-77373,-7230.6,53245,-1.003e+05,54303,-31982,-22846,69405,9760,86668,50376,62248,-25633,15813,-25113,-4745.1,8175.2,15278,35321,-58662,-69061,-21572,-1.4308e+05,-7007.2,-15263,-17536,16191,-4061.7,62049,-1.0076e+05,14097,84467,54558,29247,63501,-16019,-37769,63177,33044,-41400,47452,-23313,-34514,57302,-1391.9,-97733,95946,49553,76973,-72758,-22134,-1994.1,11379,26397,24655,-9886.1,82284,5334.9,-22237,-43888,-64084,-15910,54965,-42184,-73388,54064,59896,-39515,58933,79523,-1.2994e+05,-83078,66203,36265,-9713.2,-45125,-33951,-1597.2,-34488,-98825,-32960,-74786,8957.3,8982.2,60481,7218.3,89196,-26344,-61491,47299,15286,12717,-15029,2534.2,71395,12851,-30937,-87829,-35559,50865,-42319,3070.4,-72789,-46803,-38768,61036,79571,-62273,-12133,3721.4,44117,-89635,-3816.9,9013.4,-87287,45057,-32753,-74240,79528,-14958,-13246,-1683.7,-1.3743e+05,18069,-13507,-32768,25114,-2839.2,83533,-14278,-45899,-34612,-33690,7355.7,72497,-1.5085e+05,36208,70663,2796.3,14186,-3684.8,-22717,-48446,-1.1688e+05,-30680,-3952.9,-1.5878e+05,18672,72761,-53731,7041.6,-4562.5,-89645,-58972,59214,-34491,29941,-49295,22653,-13389,2627.7,-27302,-11147,62468,38776,-43837,24401,-31775,-47974,-81850,29269,-45489,-49308,-5527.4,-63911,-1.0039e+05,11082,-20635,-5929.1,12082,-55246,36766,-13958,58336,69117,11189,28272,-48905,78329,18165,12265,1.2724e+05,81211,68984,35393,-14.375,28165,-1.177e+05,40433,62391,33099,63695,-1871.9,7012.6,32575,-31413,39789,-78886,-34814,47726,26692,32837
-19419,1.2055e+05,17571,-30853,-18680,-36470,9.7729e+05,-93125,-59548,-23672,68279,-35578,4675.3,5042.3,68282,-1.2844e+05,-31236,-61026,23331,-47732,-35146,-5340.3,-7753.5,4054.7,22468,47943,33890,48007,-28756,-21831,-93371,-55920,37038,82152,48950,-89145,89636,-11273,21420,9174,-28867,76457,5210,-6029.6,-76565,1.3744e+05,32506,-13706,-64959,68816,20047,36631,-20185,29060,-19338,1.0204e+05,27356,3827.7,92691,-4656.8,-1.2902e+05,-18498,-4032.2,11897,22565,37712,-63510,17207,-30939,2439.3,247.38,35065,79603,-46336,-36317,26420,-62364,-37848,-13443,-58947,72453,16335,-64124,35774,-3183.4,-18334,15975,-82862,40317,-89939,10064,13200,681.85,85976,37561,-4694.4,24370,1.0965e+05,-3744.4,-85574,14766,-7025.8,-30873,-32138,-1.1369e+05,-47149,50705,-1.0483e+05,-2377.5,-38404,68608,1.244e+05,-40005,-1.0497e+05,67839,-15594,-77735,55667,27225,61820,-30964,3228.8,-14183,35730,72117,43312,-21432,-71105,-52387,1805.1,64430,1.0355e+05,21164,62609,-2823.2,-32637,-14303,24236,-95238,-81879,-53291,-42593,-40156,62691,55950,35606,-40447,-13414,-38301,-18760,-56831,-1.2496e+05,-66982,50945,12471,-89945,42796,7083.6,-53935,64361,-39291,1.0966e+05,-42750,-1.0318e+05,14726,-44521,-24447,10606,-9446.7,39874,-31955,62304,-91735,-10059,41663,73375,51964,-21457,-71631,-1.1975e+05,1.2244e+05,-20800,-3494.7,34635,11790,-27149,32144,27296,-15225,20991,-71240,26317,-1.383e+05,-56815,-16938,-22107,35424,-12857,-87664,-1.0546e+05,87287,20680,-4212.4,34741,24717,-3496,61762,17212,-1.2138e+05,-17838,94141,24260,-91330,-67558,33619,42664,37952,984.63,-59157,20271,26465,76151,-1.0797e+05,-52038,65098,20542,-45705,-76599,20154,58033,14886,-74358,-33738,-71433,42719,-51629,-27136,59919,58655,-10863,-68268,2.0474e+05,-72541,48016,17942,12459,-45664,-25033,1316,-56626,66259,-37158,6499.4,-33726,-72652,-12263,-2295.6,-15059,-9492.7,-30463,73259,47311,33691,54737,45202,-15435,-1.2272e+05,-31875,12756,-35374,-44573,91810,-31885,35988,-85293,48393,64505,-68494,19722,80781,1.3344e+05,-24612,23843,-49034,-17792,22808,-17125,-53835,54024
-1.596e+05,16739,-37896,-10549,45283,33206,-93125,9.0887e+05,-1.1086e+05,46811,-27596,4371,-59998,-76322,5052,96522,-51764,1.1268e+05,-19856,-23856,-56097,-50407,-17480,-54457,-26230,-39549,1.0689e+05,-61528,39261,15530,-45455,-54662,-86800,-52717,-43108,32104,-55340,-49808,-11359,94589,-8269.7,-37016,-61244,88593,69393,-79280,4496.7,25295,64022,-20722,-17396,45600,60269,2001.4,11549,-78269,19693,52606,-40158,-27681,571.45,-87458,62017,-49655,5912.4,78106,33363,86998,-10777,-49539,-37448,-37966,-16165,-79932,-19276,79760,82896,-21548,-80028,83968,-16879,-1.0573e+05,1.1256e+05,-78995,-70537,-1067.4,-14216,49013,-20609,60801,22128,1.0257e+05,26821,-6777.5,11724,-18886,-83896,-11742,83192,-32723,-39631,74465,56195,1.3751e+05,1.2289e+05,49540,-90160,-72091,-1.214e+05,63496,-72181,40133,-30229,-24275,-723.8,50749,49417,-20794,-7659.7,71328,-65360,-63714,35322,-50894,9901,-12315,-3234.6,-7791.8,93471,74972,-3457.9,9925.8,-27855,-70787,-57448,-9092.9,33244,84683,1.1435e+05,1.2399e+05,-52664,-54931,-1.063e+05,1.1463e+05,-6369.1,-4618.1,62250,-1.5316e+05,-41006,12814,-48186,17981,-97309,5991.9,-10351,-18088,8391.5,1660.3,-93934,46170,-7535.9,-51514,751.42,62874,-68079,9967.6,2227.2,50331,-38211,-79230,1.0881e+05,10827,-63663,-11578,7523.4,61889,-68473,-95140,4693.3,12084,68205,5722.7,-1.6562e+05,-32653,-23884,88972,-24158,-60305,35037,11475,-14558,-29607,81664,54478,-45027,-10710,-49122,1.0946e+05,-14268,-38068,32880,-29334,7338.9,-34951,-55719,-39043,-13670,-9845.2,26855,-41392,-13382,-55709,-3032,59741,-45221,84191,-26754,-12489,-12480,49104,60052,-35689,20117,-17524,76178,82550,69833,45858,21978,43351,-1.0714e+05,4276.2,-52450,49448,-31891,25225,62483,-37069,-6461.5,83154,37587,-83342,-51803,89995,-49397,39005,-48284,-34386,10526,17575,-26015,-12538,42458,4608.8,-14376,3598.8,-38428,64358,-37943,5782.2,20186,1.023e+05,-57383,-73265,-1.1417e+05,-31900,-55378,438.02,47129,-24598,6627.9,16036,88449,-52961,-669.19,26074,96541,-55043,-3443.6,-1.2968e+05,33615,51388,-71599,5892.1,-1402.1,48411,90217,1.2232e+05,-87280
88288,-31610,84319,20652,-31428,-38290,-59548,-1.1086e+05,9.6261e+05,-34223,66785,1.133e+05,-55271,84755,38525,31758,60966,-38090,-89356,-63176,-80109,-42455,-29894,74757,2627.7,54698,-35461,-26486,87834,25244,-8739.5,7193.1,14309,26799,63484,713.77,48170,14918,36927,48158,65925,-40149,-6158.8,69226,30795,32862,21133,16847,-1.0891e+05,-22703,21130,34146,-76484,-45305,-29436,34815,-3047.7,-23718,-50799,-30393,-70960,23356,-35135,61873,-6914.1,35022,45371,-7948.3,16096,29212,76609,-13851,-1.2429e+05,-49138,-1.0659e+05,-47318,66105,56478,10065,32218,1.459e+05,-4402.1,83962,-15638,13711,-71106,-1.2674e+05,26096,26895,-26782,-25058,-29922,4827.8,23178,59083,-36519,41401,97583,30522,67356,-25093,4298.9,-31172,96126,-72735,-65484,52212,79085,60522,-74684,85261,83737,26720,-1190.7,-49386,-10063,24864,47957,34006,49990,6011.2,-20441,1.1641e+05,1.0298e+05,-43697,21083,-2008.9,6030.1,-53471,-24950,-40465,-74118,-9757.3,-60158,4232.1,-60080,36994,9161.4,-48875,-52172,-59637,-36584,41872,-41880,57974,67102,-39114,-3951.4,80395,-55870,-21966,-44854,-56455,-31916,-53178,4006,-3834.2,29282,-40625,-38744,23665,-11248,33382,32338,-43612,-24354,-85873,18211,6987,-20643,-19839,-16049,-22525,26760,25968,11579,-59520,80352,-81770,-6497.8,45688,39994,-47675,21559,20872,61760,92386,48373,24251,70002,-1.0147e+05,11173,92379,12039,18018,-10036,78217,24936,-36696,66553,-37961,79742,-10903,45462,55315,39149,-84290,17330,20009,-1.0099e+05,-84146,-40299,36129,-27694,-10942,12215,-83466,-30079,-7792.4,98219,-6007.5,1.2926e+05,-31940,-7731.8,59669,-43623,1.0234e+05,-66255,-287.93,-45331,25769,-33831,86433,1.0777e+05,6099.1,-2369.2,-1.0158e+05,-34285,-24046,-1.6635e+05,14230,-44115,-2923.9,-2910.8,-77858,9426.6,-39040,-1.2609e+05,4832.4,-79702,65512,1.8898e+05,-1.1228e+05,-8868.4,2582.9,42657,-7713.3,-48451,-48751,-62046,-16847,59728,12461,-56943,56937,26322,80555,-13822,96760,-16864,5573.6,57843,-44394,30401,-32815,77943,15247,3787.6,46948,30465,31112,40660,27146,93969,-6623.6,52440,97224,-60290,32515
-1.0022e+05,17300,-56961,41288,-84173,-45460,-23672,46811,-34223,1.0317e+06,-6545.6,-10284,-95620,8508.2,-57560,-26146,25871,-77181,57861,32059,-47049,-39526,64602,-1.3255e+05,-29937,-18502,16671,-2186.4,27276,38745,26600,28542,-1.5381e+05,98010,78934,87562,-3386.5,-91198,-1.2066e+05,11531,41439,45091,5795.5,19081,-33175,57771,44344,16183,-57943,25289,-14352,19785,-13986,12829,-73133,4168.6,20010,-27345,32223,1.2795e+05,55721,34431,-56728,-62377,39211,-36701,-81669,-21197,99626,1.2405e+05,79645,-96467,-70303,53798,-45991,-47140,-73220,-37557,59910,6482,-34833,76084,32588,17161,11053,-99308,-16455,26344,-62705,7629.5,1.1983e+05,81934,39856,-47646,1.2038e+05,57831,86895,-10541,-42436,-24370,33523,28098,-57438,-28807,-41951,46848,-3488,-1.0338e+05,-22565,6906.5,-1.3753e+05,-9602.7,5583.9,29971,-40905,-58109,28980,58902,52002,-31531,21105,90018,39041,-89216,-13318,605.44,33456,-20874,41426,64759,-19416,36652,9673,76849,-87636,26637,19826,-25178,4029,-18087,-41086,-10905,-11623,53240,14157,-70484,-34556,-42249,-61687,61214,-30262,-25799,-4679.7,-60915,21098,1.357e+05,22348,-1.5089e+05,8311.1,64767,-1455.3,79120,97555,-51280,-64254,54901,-29626,87164,-47846,-30527,27343,11599,-62225,-49199,59717,-25457,36903,25152,22765,-3416.7,87863,-32329,-1.7705e+05,-50893,-4543.7,1.0619e+05,-47011,-24150,30126,-19873,-46873,-58192,42888,22470,-21669,33487,-2301.5,1.2287e+05,14866,33686,-54910,49224,8224,-57408,-26707,14191,-58467,-75357,15562,3801.2,47974,66376,-31104,30599,9557.2,14810,-34909,-76859,6597.6,9040.9,64757,67583,33784,5816.4,56475,11794,84978,3533.7,-46042,41274,-61467,-54896,4507.8,-42648,-8290.2,-31814,-15592,-40245,-21326,59425,-43877,2.1326e+05,-68052,-5798.3,-9673.7,30238,1.2561e+05,-19605,47426,-41926,-11277,-1.2868e+05,-54937,-93027,-22983,-12208,1.5501e+05,-35111,-42523,45464,69537,89767,-13054,20969,-12261,16936,29335,7964.8,6860.5,-99305,-55824,-11200,-1.1371e+05,66939,13619,-65657,-98435,-56782,56503,-68046,1.483e+05,-12371,1.0543e+05,-10618,-215.56,-30787,94506,-18311,-87561
